Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.004725,0.002221,0.001196,2.37,1.0543,0.002988
Antwerp,Unknown,Unknown,0.001008,2.37,1.0,0.002389
Brussels,Unknown,Unknown,0.00263,2.37,1.1081,0.006906
East Flanders,Unknown,Unknown,0.001026,2.37,1.1037,0.002685
Flemish Brabant,Unknown,Unknown,0.001215,2.37,1.0043,0.002893
Hainaut,Unknown,Unknown,0.000809,2.37,1.0658,0.002042
Liege,Unknown,Unknown,0.001238,2.37,1.2223,0.003585
Limburg,Unknown,Unknown,0.000818,2.37,1.0,0.001939
Luxembourg,Unknown,Unknown,0.001117,2.37,1.0,0.002648
Namur,Unknown,Unknown,0.000726,2.37,1.2345,0.002125
Walloon Brabant,Unknown,Unknown,0.001278,2.37,1.0,0.00303
West Flanders,Unknown,Unknown,0.000976,2.37,1.0166,0.002351
