Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.001888,0.001888,0.000633,2.2985,1.2979,0.001888
Alberta,0.002181,0.001759,0.000616,3.0101,1.0,0.001856
British Columbia,0.000478,0.000386,0.000133,3.0101,1.0,0.000401
Manitoba,0.000985,0.000794,0.000247,3.0101,1.118,0.000832
New Brunswick,0.003049,0.002459,0.000801,3.0101,1.0587,0.002552
Newfoundland and Labrador,0.001107,0.000892,0.000302,3.0101,1.0,0.000908
Northwest Territories,7.7e-05,6.2e-05,2.2e-05,3.0101,1.0,6.6e-05
Nova Scotia,0.003692,0.002973,0.001019,3.0101,1.0,0.003068
Ontario,0.002281,0.00184,0.000628,3.0101,1.0145,0.001919
Prince Edward Island,0.021335,0.017178,0.003378,3.0101,1.7367,0.017657
Quebec,0.003083,0.002488,0.000787,3.0101,1.0921,0.002588
Saskatchewan,0.005957,0.004812,0.001685,3.0101,1.0,0.005072
Yukon,0.000254,0.000203,9.3e-05,2.2766,1.0,0.000212
Nunavut,9e-05,7.2e-05,2.5e-05,3.0101,1.0,7.6e-05
