Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002475,0.001997,0.000671,2.9316,1.0577,0.002082
Algoma,0.001722,0.001389,0.000521,2.9316,1.0,0.001526
Brant,0.000872,0.000703,0.000262,2.9316,1.0,0.000768
Durham,0.000352,0.000284,0.000106,2.9316,1.0,0.00031
Grey Bruce,0.001221,0.000985,0.00037,2.9316,1.0,0.001083
Haldimand-Norfolk,0.001197,0.000966,0.00036,2.9316,1.0,0.001056
Haliburton, Kawartha, Pine Ridge,0.000377,0.000304,0.000114,2.9316,1.0,0.000334
Halton,0.000396,0.00032,0.00012,2.9316,1.0,0.00035
Hamilton,0.001069,0.000862,0.000322,2.9316,1.0,0.000944
Hastings and Prince Edward,0.000475,0.000383,0.000144,2.9316,1.0,0.000421
Huron Perth,0.000827,0.000667,0.00025,2.9316,1.0,0.000733
Chatham-Kent,0.001137,0.000918,0.000343,2.9316,1.0,0.001005
Kingston, Frontenac and Lennox and Addington,0.000801,0.000647,0.000243,2.9316,1.0,0.000713
Lambton,0.0007,0.000565,0.000211,2.9316,1.0,0.000619
Leeds, Grenville and Lanark,0.001327,0.001071,0.000402,2.9316,1.0,0.001179
Middlesex-London,0.000993,0.000801,0.000299,2.9316,1.0,0.000876
Niagara,0.000841,0.000679,0.000254,2.9316,1.0,0.000744
North Bay Parry Sound,0.001214,0.00098,0.000367,2.9316,1.0,0.001076
Northwestern,0.001137,0.000917,0.000343,2.9316,1.0,0.001006
Ottawa,0.000632,0.00051,0.000192,2.9316,1.0,0.000561
Peel,0.000419,0.000338,0.000125,2.9316,1.0,0.000368
Peterborough,0.001051,0.000848,0.000318,2.9316,1.0,0.000933
Porcupine,0.000435,0.000351,0.000131,2.9316,1.0,0.000383
Renfrew,0.00112,0.000904,0.000338,2.9316,1.0,0.000992
Eastern,0.000532,0.000429,0.000161,2.9316,1.0,0.000471
Simcoe Muskoka,0.000797,0.000643,0.00024,2.9316,1.0,0.000704
Sudbury,0.001452,0.001172,0.000438,2.9316,1.0,0.001284
Thunder Bay,0.001019,0.000822,0.000308,2.9316,1.0,0.000902
Timiskaming,0.001454,0.001173,0.000439,2.9316,1.0,0.001287
Waterloo,0.000462,0.000372,0.000139,2.9316,1.0,0.000408
Wellington-Dufferin-Guelph,0.000618,0.000498,0.000186,2.9316,1.0,0.000546
Windsor-Essex,0.000531,0.000429,0.00016,2.9316,1.0,0.000468
York,0.000483,0.000389,0.000145,2.9316,1.0,0.000426
Southwestern,0.000939,0.000758,0.000283,2.9316,1.0,0.000829
Toronto,0.000673,0.000543,0.000203,2.9316,1.0,0.000595
