Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.0028,0.000521,0.000439,2.4253,1.0,0.001065
Abitibi-Témiscamingue,0.000548,0.000102,8.1e-05,2.4253,1.1,0.000217
Bas-Saint-Laurent,0.003669,0.000683,0.000274,2.4253,2.0,0.001327
Capitale-Nationale,0.001506,0.00028,0.000222,2.4253,1.0,0.00054
Chaudière-Appalaches,0.006376,0.001187,0.000912,2.4253,1.1048,0.002444
Côte-Nord,0.00135,0.000251,0.000143,2.4253,1.5,0.000521
Estrie,0.002503,0.000466,0.000409,2.4253,1.0,0.000991
Gaspésie-Îles-de-la-Madeleine,0.001298,0.000242,0.000166,2.4253,1.0,0.000403
Lanaudière,0.002062,0.000384,0.000359,2.4253,1.0,0.00087
Laurentides,0.002916,0.000543,0.000485,2.4253,1.0,0.001177
Laval,0.004222,0.000786,0.000743,2.4253,1.0,0.001801
Mauricie,0.002775,0.000517,0.000369,2.4253,1.2166,0.001089
Montérégie,0.00185,0.000344,0.000315,2.4253,1.0,0.000764
Montréal,0.003084,0.000574,0.000455,2.4253,1.0,0.001105
Nord-du-Québec,0.000513,9.5e-05,7.3e-05,2.4253,1.0,0.000178
Nunavik,0.000625,0.000116,0.000142,2.4253,1.0,0.000344
Outaouais,0.003228,0.000601,0.000468,2.4253,1.1562,0.001313
Saguenay,0.000835,0.000156,0.000126,2.4253,1.0,0.000306
Terres-Cries-de-la-Baie-James,0.000325,6e-05,5.5e-05,2.4253,1.0,0.000134
