Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.000181,0.000181,8.7e-05,2.038,1.0223,0.000181
Anhui,Unknown,Unknown,0.0,2.038,1.0,0.0
Beijing,Unknown,Unknown,0.000119,2.038,1.0,0.000242
Chongqing,Unknown,Unknown,3.8e-05,2.038,1.3004,0.000101
Fujian,Unknown,Unknown,5e-06,2.038,1.0,1.1e-05
Gansu,Unknown,Unknown,0.0,2.038,1.0,0.0
Guangdong,Unknown,Unknown,4.4e-05,2.038,1.0,8.9e-05
Guangxi,Unknown,Unknown,0.0,2.038,2.0,1e-06
Guizhou,Unknown,Unknown,1e-06,2.038,1.0,1e-06
Hainan,Unknown,Unknown,1.4e-05,2.038,1.0,3e-05
Hebei,Unknown,Unknown,1e-06,2.038,2.0,4e-06
Heilongjiang,Unknown,Unknown,2e-06,2.038,1.0,5e-06
Henan,Unknown,Unknown,3e-06,2.038,1.0,7e-06
Hubei,Unknown,Unknown,0.0,2.038,1.0,0.0
Hunan,Unknown,Unknown,5e-06,2.038,2.0,1.9e-05
Inner Mongolia,Unknown,Unknown,6e-06,2.038,1.0,1.3e-05
Jiangsu,Unknown,Unknown,0.0,2.038,1.0,0.0
Jiangxi,Unknown,Unknown,3e-06,2.038,2.0,1.3e-05
Jilin,Unknown,Unknown,0.0,2.038,2.0,1e-06
Liaoning,Unknown,Unknown,1e-06,2.038,1.0,3e-06
Ningxia,Unknown,Unknown,0.0,2.038,1.0,1e-06
Qinghai,Unknown,Unknown,4e-06,2.038,1.0,8e-06
Shaanxi,Unknown,Unknown,2e-06,2.038,1.0,4e-06
Shandong,Unknown,Unknown,2e-06,2.038,1.0,4e-06
Shanghai,Unknown,Unknown,1.1e-05,2.038,1.7212,4e-05
Shanxi,Unknown,Unknown,2e-06,2.038,1.0,3e-06
Sichuan,Unknown,Unknown,6e-06,2.038,1.0,1.2e-05
Tianjin,Unknown,Unknown,1.1e-05,2.038,2.0,4.4e-05
Tibet,Unknown,Unknown,0.0,2.038,1.0,1e-06
Xinjiang,Unknown,Unknown,0.0,2.038,1.0,0.0
Yunnan,Unknown,Unknown,6e-06,2.038,1.2676,1.5e-05
Zhejiang,Unknown,Unknown,5e-06,2.038,1.0,1e-05
Hong Kong,Unknown,Unknown,0.014651,2.038,1.1207,0.033462
Macau,Unknown,Unknown,0.000659,2.038,1.3556,0.001821
