Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.001558,0.000732,0.000341,2.3972,1.2595,0.001031
Amazonas,Unknown,Unknown,0.000548,2.3972,1.0,0.001315
Antioquia,Unknown,Unknown,0.00059,2.3972,1.0791,0.001527
Arauca,Unknown,Unknown,0.00021,2.3972,1.0,0.000503
Atlantico,Unknown,Unknown,0.000339,2.3972,1.2082,0.000982
Bolivar,Unknown,Unknown,0.00017,2.3972,1.1818,0.000482
Boyaca,Unknown,Unknown,0.000136,2.3972,1.2615,0.00041
Caldas,Unknown,Unknown,0.000153,2.3972,1.4757,0.000542
Capital District,Unknown,Unknown,0.000732,2.3972,2.0,0.003508
Caqueta,Unknown,Unknown,6e-05,2.3972,1.0,0.000143
Casanare,Unknown,Unknown,0.000136,2.3972,1.0,0.000325
Cauca,Unknown,Unknown,8.5e-05,2.3972,1.0,0.000205
Cesar,Unknown,Unknown,0.000217,2.3972,1.0,0.000521
Choco,Unknown,Unknown,2.1e-05,2.3972,1.0,4.9e-05
Cordoba,Unknown,Unknown,3.6e-05,2.3972,1.0,8.6e-05
Cundinamarca,Unknown,Unknown,0.000158,2.3972,1.5734,0.000597
Guainia,Unknown,Unknown,6.2e-05,2.3972,1.0,0.000149
Guaviare,Unknown,Unknown,7.2e-05,2.3972,1.0,0.000174
Huila,Unknown,Unknown,0.000189,2.3972,1.0402,0.000471
La Guajira,Unknown,Unknown,0.000187,2.3972,1.0,0.000449
Magdalena,Unknown,Unknown,0.000158,2.3972,1.0,0.000379
Meta,Unknown,Unknown,0.000165,2.3972,1.0,0.000397
Narino,Unknown,Unknown,5.3e-05,2.3972,1.0,0.000126
Norte de Santander,Unknown,Unknown,0.000333,2.3972,1.0,0.000799
Putumayo,Unknown,Unknown,0.0005,2.3972,1.0,0.001198
Quindio,Unknown,Unknown,0.000428,2.3972,1.0,0.001026
Risaralda,Unknown,Unknown,0.000264,2.3972,1.0,0.000633
San Andres y Providencia,Unknown,Unknown,0.00062,2.3972,1.0,0.001487
Santander,Unknown,Unknown,0.000345,2.3972,1.0,0.000826
Sucre,Unknown,Unknown,3.8e-05,2.3972,1.65,0.000149
Tolima,Unknown,Unknown,8.9e-05,2.3972,1.1584,0.000246
Valle del Cauca,Unknown,Unknown,0.000582,2.3972,1.8365,0.002564
Vaupes,Unknown,Unknown,2.5e-05,2.3972,1.0,5.9e-05
Vichada,Unknown,Unknown,8.3e-05,2.3972,2.0,0.0004
