Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,2.4e-05,2.4e-05,1.2e-05,2.0853,1.0,2.4e-05
Andaman and Nicobar Islands,Unknown,Unknown,1.2e-05,2.0853,2.0,5e-05
Andhra Pradesh,Unknown,Unknown,7e-06,2.0853,1.0,1.4e-05
Arunachal Pradesh,Unknown,Unknown,2e-06,2.0853,1.0,4e-06
Assam,Unknown,Unknown,1e-06,2.0853,1.9,2e-06
Bihar,Unknown,Unknown,0.0,2.0853,1.0,1e-06
Chandigarh,Unknown,Unknown,2.5e-05,2.0853,1.0,5.2e-05
Chhattisgarh,Unknown,Unknown,4e-06,2.0853,1.0,8e-06
Dadra and Nagar Haveli and Daman and Diu,Unknown,Unknown,3e-06,2.0853,1.0,7e-06
Delhi,Unknown,Unknown,4.6e-05,2.0853,1.0,9.6e-05
Goa,Unknown,Unknown,3.2e-05,2.0853,1.0,6.6e-05
Gujarat,Unknown,Unknown,3e-06,2.0853,1.0,6e-06
Haryana,Unknown,Unknown,2e-05,2.0853,1.0,4.1e-05
Himachal Pradesh,Unknown,Unknown,3.2e-05,2.0853,1.0,6.7e-05
Jammu and Kashmir,Unknown,Unknown,8e-06,2.0853,1.0,1.6e-05
Jharkhand,Unknown,Unknown,2e-06,2.0853,1.0,5e-06
Karnataka,Unknown,Unknown,1.3e-05,2.0853,1.0,2.8e-05
Kerala,Unknown,Unknown,0.00017,2.0853,1.0,0.000354
Ladakh,Unknown,Unknown,0.000106,2.0853,1.0,0.00022
Madhya Pradesh,Unknown,Unknown,2e-06,2.0853,1.0,5e-06
Maharashtra,Unknown,Unknown,1e-05,2.0853,1.0,2.1e-05
Manipur,Unknown,Unknown,1.6e-05,2.0853,1.0,3.4e-05
Meghalaya,Unknown,Unknown,1.5e-05,2.0853,1.0,3.2e-05
Mizoram,Unknown,Unknown,0.001398,2.0853,1.0,0.002916
Nagaland,Unknown,Unknown,7e-06,2.0853,1.0,1.4e-05
Odisha,Unknown,Unknown,1.1e-05,2.0853,1.0,2.4e-05
Puducherry,Unknown,Unknown,1e-05,2.0853,1.0,2.1e-05
Punjab,Unknown,Unknown,8e-06,2.0853,1.0,1.6e-05
Rajasthan,Unknown,Unknown,5e-06,2.0853,1.0,1e-05
Sikkim,Unknown,Unknown,2.3e-05,2.0853,1.0,4.8e-05
Tamil Nadu,Unknown,Unknown,6e-06,2.0853,1.0,1.3e-05
Telangana,Unknown,Unknown,1.1e-05,2.0853,1.0,2.3e-05
Tripura,Unknown,Unknown,0.0,2.0853,1.0,1e-06
Uttar Pradesh,Unknown,Unknown,2e-06,2.0853,1.0,3e-06
Uttarakhand,Unknown,Unknown,1.3e-05,2.0853,1.0,2.7e-05
West Bengal,Unknown,Unknown,4e-06,2.0853,1.0,8e-06
Lakshadweep,Unknown,Unknown,1.6e-05,2.0853,1.0,3.2e-05
