Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.000216,0.000102,6.2e-05,2.2364,1.0,0.000139
Aichi,Unknown,Unknown,7.2e-05,2.2364,1.0,0.000161
Akita,Unknown,Unknown,3.2e-05,2.2364,1.4286,0.000102
Aomori,Unknown,Unknown,5.9e-05,2.2364,1.0,0.000133
Chiba,Unknown,Unknown,6.9e-05,2.2364,1.0,0.000154
Ehime,Unknown,Unknown,6.3e-05,2.2364,1.0,0.00014
Fukui,Unknown,Unknown,4e-05,2.2364,1.0,9e-05
Fukuoka,Unknown,Unknown,4.5e-05,2.2364,1.0,0.0001
Fukushima,Unknown,Unknown,1.4e-05,2.2364,1.0,3e-05
Gifu,Unknown,Unknown,8.5e-05,2.2364,1.0,0.000189
Gunma,Unknown,Unknown,3.2e-05,2.2364,1.0,7.3e-05
Hiroshima,Unknown,Unknown,6.4e-05,2.2364,1.0,0.000143
Hokkaido,Unknown,Unknown,2.6e-05,2.2364,1.0,5.7e-05
Hyogo,Unknown,Unknown,9.4e-05,2.2364,1.0,0.000211
Ibaraki,Unknown,Unknown,4.5e-05,2.2364,1.0,0.000102
Ishikawa,Unknown,Unknown,6.9e-05,2.2364,1.3051,0.0002
Iwate,Unknown,Unknown,6e-06,2.2364,1.0,1.3e-05
Kagawa,Unknown,Unknown,1.2e-05,2.2364,1.0,2.6e-05
Kagoshima,Unknown,Unknown,1.1e-05,2.2364,1.0,2.4e-05
Kanagawa,Unknown,Unknown,6.8e-05,2.2364,1.0,0.000153
Kochi,Unknown,Unknown,2.3e-05,2.2364,1.0,5.1e-05
Kumamoto,Unknown,Unknown,3e-05,2.2364,1.0,6.8e-05
Kyoto,Unknown,Unknown,7.7e-05,2.2364,1.0,0.000171
Mie,Unknown,Unknown,3.2e-05,2.2364,1.0,7.2e-05
Miyagi,Unknown,Unknown,1.8e-05,2.2364,1.0,4.1e-05
Miyazaki,Unknown,Unknown,1.2e-05,2.2364,1.0,2.7e-05
Nagano,Unknown,Unknown,3.1e-05,2.2364,1.0,6.9e-05
Nagasaki,Unknown,Unknown,3.3e-05,2.2364,1.0,7.4e-05
Nara,Unknown,Unknown,6e-05,2.2364,1.0,0.000135
Niigata,Unknown,Unknown,4.6e-05,2.2364,1.0,0.000103
Oita,Unknown,Unknown,4.7e-05,2.2364,1.0,0.000104
Okayama,Unknown,Unknown,3.8e-05,2.2364,1.0,8.4e-05
Okinawa,Unknown,Unknown,0.000175,2.2364,1.0,0.000392
Osaka,Unknown,Unknown,0.000148,2.2364,1.0,0.000332
Saga,Unknown,Unknown,4.8e-05,2.2364,1.0,0.000107
Saitama,Unknown,Unknown,6.9e-05,2.2364,1.0,0.000155
Shiga,Unknown,Unknown,5.9e-05,2.2364,1.0,0.000133
Shimane,Unknown,Unknown,3e-05,2.2364,1.0,6.6e-05
Shizuoka,Unknown,Unknown,2.2e-05,2.2364,1.0,5e-05
Tochigi,Unknown,Unknown,5.6e-05,2.2364,1.0,0.000126
Tokushima,Unknown,Unknown,3.6e-05,2.2364,1.0,8e-05
Tokyo,Unknown,Unknown,8.3e-05,2.2364,1.0,0.000186
Tottori,Unknown,Unknown,2e-05,2.2364,2.0,8.9e-05
Toyama,Unknown,Unknown,2e-05,2.2364,1.0,4.5e-05
Wakayama,Unknown,Unknown,4.4e-05,2.2364,1.0,9.9e-05
Yamagata,Unknown,Unknown,1.3e-05,2.2364,1.0,2.9e-05
Yamaguchi,Unknown,Unknown,3.1e-05,2.2364,1.0,6.9e-05
Yamanashi,Unknown,Unknown,3.2e-05,2.2364,1.0,7.2e-05
