Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.000117,0.000117,4.9e-05,2.3919,1.0,0.000117
Aguascalientes,Unknown,Unknown,0.000125,2.3919,1.0,0.000298
Baja California,Unknown,Unknown,3.3e-05,2.3919,1.0,8e-05
Baja California Sur,Unknown,Unknown,0.000132,2.3919,1.25,0.000394
Campeche,Unknown,Unknown,3.7e-05,2.3919,1.0588,9.4e-05
Chiapas,Unknown,Unknown,3.8e-05,2.3919,1.0,9.1e-05
Chihuahua,Unknown,Unknown,2e-05,2.3919,1.0,4.8e-05
Ciudad de Mexico,Unknown,Unknown,0.000227,2.3919,1.0,0.000544
Coahuila,Unknown,Unknown,9e-06,2.3919,1.0,2.2e-05
Colima,Unknown,Unknown,3.7e-05,2.3919,1.0,8.8e-05
Durango,Unknown,Unknown,1.8e-05,2.3919,1.0,4.2e-05
Guanajuato,Unknown,Unknown,1.4e-05,2.3919,1.0,3.3e-05
Guerrero,Unknown,Unknown,8e-06,2.3919,2.0,3.9e-05
Hidalgo,Unknown,Unknown,4.5e-05,2.3919,1.2124,0.00013
Jalisco,Unknown,Unknown,2.3e-05,2.3919,1.0,5.6e-05
Mexico,Unknown,Unknown,2.5e-05,2.3919,1.0,5.9e-05
Michoacan,Unknown,Unknown,7e-06,2.3919,1.0,1.6e-05
Morelos,Unknown,Unknown,2.5e-05,2.3919,1.0,6.1e-05
Nayarit,Unknown,Unknown,4.3e-05,2.3919,1.2,0.000123
Nuevo Leon,Unknown,Unknown,7e-06,2.3919,1.0,1.7e-05
Oaxaca,Unknown,Unknown,4e-05,2.3919,1.0,9.6e-05
Puebla,Unknown,Unknown,1.8e-05,2.3919,1.0,4.2e-05
Queretaro,Unknown,Unknown,2.9e-05,2.3919,1.0,7e-05
Quintana Roo,Unknown,Unknown,4.3e-05,2.3919,1.0,0.000103
San Luis Potosi,Unknown,Unknown,6.2e-05,2.3919,1.0539,0.000156
Sinaloa,Unknown,Unknown,2.9e-05,2.3919,1.0,7e-05
Sonora,Unknown,Unknown,2.3e-05,2.3919,1.0,5.4e-05
Tabasco,Unknown,Unknown,1.3e-05,2.3919,1.2692,4e-05
Tamaulipas,Unknown,Unknown,0.000242,2.3919,1.3253,0.000768
Tlaxcala,Unknown,Unknown,1.5e-05,2.3919,1.0,3.6e-05
Veracruz,Unknown,Unknown,5.2e-05,2.3919,1.814,0.000224
Yucatan,Unknown,Unknown,8e-05,2.3919,1.0,0.000191
Zacatecas,Unknown,Unknown,1.4e-05,2.3919,1.0,3.4e-05
