Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.004,0.004,0.000901,2.8497,1.5578,0.004
Drenthe,Unknown,Unknown,0.00082,2.8497,1.4745,0.003447
Flevoland,Unknown,Unknown,0.000674,2.8497,1.372,0.002634
Friesland,Unknown,Unknown,0.00078,2.8497,1.6115,0.003582
Gelderland,Unknown,Unknown,0.00108,2.8497,1.7369,0.005344
Groningen,Unknown,Unknown,0.000855,2.8497,1.5974,0.003893
Limburg,Unknown,Unknown,0.001224,2.8497,1.5895,0.005547
Noord-Brabant,Unknown,Unknown,0.000915,2.8497,1.6858,0.004398
Noord-Holland,Unknown,Unknown,0.00079,2.8497,1.4549,0.003276
Overijssel,Unknown,Unknown,0.001011,2.8497,1.4387,0.004144
Utrecht,Unknown,Unknown,0.000862,2.8497,1.5039,0.003695
Zeeland,Unknown,Unknown,0.000837,2.8497,1.4815,0.003534
Zuid-Holland,Unknown,Unknown,0.000758,2.8497,1.5173,0.003277
Aruba,Unknown,Unknown,9e-06,2.8497,1.0,2.7e-05
Curacao,Unknown,Unknown,7.3e-05,2.8497,1.0,0.000208
Sint Maarten,Unknown,Unknown,0.000117,2.8497,1.0,0.000332
Bonaire, Sint Eustatius and Saba,Unknown,Unknown,0.000877,2.8497,1.2941,0.003235
