Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.000266,0.000266,0.000127,2.0975,1.0,0.000266
Amazonas,Unknown,Unknown,0.000234,2.0975,2.0,0.000983
Ancash,Unknown,Unknown,0.000245,2.0975,1.0,0.000513
Apurimac,Unknown,Unknown,0.000121,2.0975,2.0,0.000506
Arequipa,Unknown,Unknown,0.000271,2.0975,1.0,0.000569
Ayacucho,Unknown,Unknown,0.000168,2.0975,2.0,0.000703
Cajamarca,Unknown,Unknown,3.9e-05,2.0975,1.12,9.2e-05
Callao,Unknown,Unknown,0.000171,2.0975,1.2229,0.000438
Cusco,Unknown,Unknown,0.000288,2.0975,2.0,0.001209
Huancavelica,Unknown,Unknown,0.000189,2.0975,2.0,0.000792
Huanuco,Unknown,Unknown,0.00011,2.0975,1.8043,0.000418
Ica,Unknown,Unknown,0.000433,2.0975,1.1926,0.001083
Junin,Unknown,Unknown,0.000203,2.0975,2.0,0.000853
La Libertad,Unknown,Unknown,0.000129,2.0975,1.0,0.00027
Lambayeque,Unknown,Unknown,0.000135,2.0975,1.2394,0.000351
Lima,Unknown,Unknown,0.000424,2.0975,1.239,0.001102
Loreto,Unknown,Unknown,6.4e-05,2.0975,2.0,0.000269
Madre de Dios,Unknown,Unknown,0.000104,2.0975,2.0,0.000434
Moquegua,Unknown,Unknown,0.001033,2.0975,1.7069,0.003697
Pasco,Unknown,Unknown,0.000235,2.0975,2.0,0.000987
Piura,Unknown,Unknown,0.000175,2.0975,1.0,0.000367
Puno,Unknown,Unknown,0.000205,2.0975,1.8201,0.000783
San Martin,Unknown,Unknown,7.8e-05,2.0975,2.0,0.000326
Tacna,Unknown,Unknown,0.000288,2.0975,1.0,0.000605
Tumbes,Unknown,Unknown,0.000163,2.0975,2.0,0.000684
Ucayali,Unknown,Unknown,2.9e-05,2.0975,1.7778,0.000108
