Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.004137,0.004137,0.00168,2.4633,1.0,0.004137
Alba,Unknown,Unknown,0.001751,2.4633,1.0,0.004314
Arad,Unknown,Unknown,0.001595,2.4633,1.0,0.003928
Argeș,Unknown,Unknown,0.00099,2.4633,1.0,0.002438
Bacău,Unknown,Unknown,0.000578,2.4633,1.0,0.001425
Bihor,Unknown,Unknown,0.000927,2.4633,1.0,0.002283
Bistrița-Năsăud,Unknown,Unknown,0.000796,2.4633,1.0,0.00196
Botoșani,Unknown,Unknown,0.000595,2.4633,1.0,0.001466
Brașov,Unknown,Unknown,0.002048,2.4633,1.0,0.005044
Brăila,Unknown,Unknown,0.001018,2.4633,1.0,0.002508
București,Unknown,Unknown,0.005686,2.4633,1.0,0.014007
Buzău,Unknown,Unknown,0.001063,2.4633,1.0,0.00262
Caraș-Severin,Unknown,Unknown,0.001466,2.4633,1.0,0.003611
Călărași,Unknown,Unknown,0.000843,2.4633,1.0,0.002076
Cluj,Unknown,Unknown,0.003682,2.4633,1.0,0.009069
Constanța,Unknown,Unknown,0.001628,2.4633,1.0,0.004011
Covasna,Unknown,Unknown,0.001246,2.4633,1.0,0.003069
Dâmbovița,Unknown,Unknown,0.000791,2.4633,1.0,0.001948
Dolj,Unknown,Unknown,0.001607,2.4633,1.0,0.003959
Galați,Unknown,Unknown,0.001181,2.4633,1.0,0.002909
Giurgiu,Unknown,Unknown,0.001166,2.4633,1.0,0.002873
Gorj,Unknown,Unknown,0.000487,2.4633,1.0,0.0012
Harghita,Unknown,Unknown,0.000325,2.4633,1.0,0.000801
Hunedoara,Unknown,Unknown,0.001758,2.4633,1.0,0.00433
Ialomița,Unknown,Unknown,0.000838,2.4633,1.0,0.002065
Iași,Unknown,Unknown,0.001363,2.4633,1.0,0.003357
Ilfov,Unknown,Unknown,0.003058,2.4633,1.0,0.007532
Maramureș,Unknown,Unknown,0.000513,2.4633,1.0,0.001263
Mehedinți,Unknown,Unknown,0.001013,2.4633,1.0,0.002496
Mureș,Unknown,Unknown,0.001264,2.4633,1.0,0.003115
Neamț,Unknown,Unknown,0.000402,2.4633,1.0,0.000989
Olt,Unknown,Unknown,0.001204,2.4633,1.0,0.002965
Prahova,Unknown,Unknown,0.001577,2.4633,1.0,0.003884
Satu Mare,Unknown,Unknown,0.000637,2.4633,1.0,0.00157
Sălaj,Unknown,Unknown,0.000839,2.4633,1.0,0.002066
Sibiu,Unknown,Unknown,0.002306,2.4633,1.0,0.00568
Suceava,Unknown,Unknown,0.000374,2.4633,1.0,0.000922
Teleorman,Unknown,Unknown,0.001427,2.4633,1.0,0.003515
Timiș,Unknown,Unknown,0.002495,2.4633,1.0,0.006147
Tulcea,Unknown,Unknown,0.000328,2.4633,1.0,0.000808
Vaslui,Unknown,Unknown,0.000865,2.4633,1.0,0.00213
Vâlcea,Unknown,Unknown,0.001105,2.4633,1.0,0.002723
Vrancea,Unknown,Unknown,0.000529,2.4633,1.0,0.001304
