Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.000358,0.000358,0.000152,2.189,1.0756,0.000358
Adygea Republic,Unknown,Unknown,2.9e-05,2.189,1.0,6.3e-05
Altai Krai,Unknown,Unknown,0.000146,2.189,1.0,0.000319
Altai Republic,Unknown,Unknown,0.000147,2.189,1.0,0.000321
Amur Oblast,Unknown,Unknown,0.000157,2.189,1.0,0.000343
Arkhangelsk Oblast,Unknown,Unknown,0.000322,2.189,1.0164,0.000717
Astrakhan Oblast,Unknown,Unknown,0.000182,2.189,1.0888,0.000433
Bashkortostan Republic,Unknown,Unknown,8.2e-05,2.189,1.0215,0.000184
Belgorod Oblast,Unknown,Unknown,5.4e-05,2.189,1.0,0.000119
Bryansk Oblast,Unknown,Unknown,0.000106,2.189,1.2095,0.00028
Buryatia Republic,Unknown,Unknown,9.4e-05,2.189,1.011,0.000209
Chechen Republic,Unknown,Unknown,8e-05,2.189,1.2527,0.000219
Chelyabinsk Oblast,Unknown,Unknown,0.00018,2.189,1.0,0.000394
Chukotka Autonomous Okrug,Unknown,Unknown,0.000203,2.189,1.0,0.000444
Chuvashia Republic,Unknown,Unknown,0.000227,2.189,1.3881,0.000691
Dagestan Republic,Unknown,Unknown,8e-06,2.189,1.0,1.8e-05
Ingushetia Republic,Unknown,Unknown,7e-05,2.189,1.375,0.00021
Irkutsk Oblast,Unknown,Unknown,0.000167,2.189,1.0,0.000366
Ivanovo Oblast,Unknown,Unknown,0.000154,2.189,1.0,0.000337
Jewish Autonomous Okrug,Unknown,Unknown,0.000346,2.189,1.0577,0.0008
Kabardino-Balkarian Republic,Unknown,Unknown,4.4e-05,2.189,1.0,9.6e-05
Kaliningrad Oblast,Unknown,Unknown,0.000157,2.189,1.0993,0.000377
Kalmykia Republic,Unknown,Unknown,0.000305,2.189,1.1528,0.00077
Kaluga Oblast,Unknown,Unknown,0.000162,2.189,1.1643,0.000413
Kamchatka Krai,Unknown,Unknown,0.000124,2.189,1.0,0.000271
Karachay-Cherkess Republic,Unknown,Unknown,5.1e-05,2.189,1.3529,0.000152
Karelia Republic,Unknown,Unknown,0.000419,2.189,1.0,0.000918
Kemerovo Oblast,Unknown,Unknown,9.5e-05,2.189,1.0,0.000209
Khabarovsk Krai,Unknown,Unknown,6.2e-05,2.189,1.0,0.000137
Khakassia Republic,Unknown,Unknown,9.9e-05,2.189,1.4444,0.000312
Khanty-Mansi Autonomous Okrug,Unknown,Unknown,8.7e-05,2.189,1.0,0.000191
Kirov Oblast,Unknown,Unknown,0.000139,2.189,2.0,0.000611
