Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.025165,0.011827,0.002931,2.4398,2.0,0.014302
Andalusia,Unknown,Unknown,0.001343,2.4398,2.0,0.006552
Aragon,Unknown,Unknown,0.005205,2.4398,2.0,0.025396
Asturias,Unknown,Unknown,0.003997,2.4398,2.0,0.019505
Baleares,Unknown,Unknown,0.003522,2.4398,2.0,0.017186
Canarias,Unknown,Unknown,0.001919,2.4398,2.0,0.009364
Cantabria,Unknown,Unknown,0.002668,2.4398,2.0,0.01302
Castilla - La Mancha,Unknown,Unknown,0.001459,2.4398,2.0,0.007117
Castilla y Leon,Unknown,Unknown,0.003829,2.4398,2.0,0.018684
Catalonia,Unknown,Unknown,0.003527,2.4398,2.0,0.017208
Ceuta,Unknown,Unknown,0.003065,2.4398,2.0,0.014956
C. Valenciana,Unknown,Unknown,0.003576,2.4398,2.0,0.017451
Extremadura,Unknown,Unknown,0.001661,2.4398,2.0,0.008107
Galicia,Unknown,Unknown,0.002999,2.4398,2.0,0.014635
Madrid,Unknown,Unknown,0.001748,2.4398,2.0,0.008528
Melilla,Unknown,Unknown,0.004003,2.4398,2.0,0.019532
Murcia,Unknown,Unknown,0.002933,2.4398,2.0,0.014311
Navarra,Unknown,Unknown,0.009416,2.4398,2.0,0.045947
Pais Vasco,Unknown,Unknown,0.006701,2.4398,2.0,0.032696
La Rioja,Unknown,Unknown,0.003167,2.4398,2.0,0.015452
