Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.001488,0.0007,0.00042,2.2707,1.0,0.000955
Blekinge,Unknown,Unknown,0.000175,2.2707,1.0,0.000398
Dalarna,Unknown,Unknown,0.000462,2.2707,1.0,0.001049
Gavleborg,Unknown,Unknown,0.000289,2.2707,1.2812,0.00084
Gotland,Unknown,Unknown,0.000134,2.2707,1.1667,0.000355
Halland,Unknown,Unknown,0.000309,2.2707,1.0,0.000701
Jamtland Harjedalen,Unknown,Unknown,0.000313,2.2707,1.0,0.000712
Jonkoping,Unknown,Unknown,0.00041,2.2707,1.0,0.000931
Kalmar,Unknown,Unknown,0.000244,2.2707,1.3721,0.000762
Kronoberg,Unknown,Unknown,0.000268,2.2707,1.0,0.000609
Norrbotten,Unknown,Unknown,0.000464,2.2707,1.1735,0.001236
Orebro,Unknown,Unknown,0.000561,2.2707,1.2879,0.001641
Ostergotland,Unknown,Unknown,0.000258,2.2707,1.0,0.000585
Skane,Unknown,Unknown,0.000304,2.2707,1.0,0.000691
Sormland,Unknown,Unknown,0.000373,2.2707,1.5942,0.00135
Stockholm,Unknown,Unknown,0.00055,2.2707,1.0054,0.001256
Uppsala,Unknown,Unknown,0.000386,2.2707,1.0,0.000876
Varmland,Unknown,Unknown,0.000152,2.2707,1.0,0.000346
Vasterbotten,Unknown,Unknown,0.000876,2.2707,1.0,0.001989
Vasternorrland,Unknown,Unknown,0.000122,2.2707,1.0,0.000278
Vastmanland,Unknown,Unknown,0.000783,2.2707,1.0644,0.001893
Vastra Gotaland,Unknown,Unknown,0.000398,2.2707,1.0,0.000904
