Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,7278717,3651,0.000502,2.5092,1.2572,0.001583
Apache,71887,43,0.000612,2.5056,1.7917,0.002748
Cochise,125922,14,0.000119,2.3231,1.0,0.000277
Coconino,143476,63,0.000446,2.445,2.0,0.002181
Gila,54018,33,0.000629,2.6119,1.1379,0.001871
Graham,38837,7,0.000206,2.275,1.4,0.000656
Greenlee,9498,4,0.000526,2.5092,2.0,0.002642
La Paz,21108,11,0.000569,2.55,1.1,0.001595
Maricopa,4485414,2311,0.000515,2.5127,1.2112,0.001569
Mohave,212181,244,0.001155,2.7023,1.2261,0.003826
Navajo,110924,71,0.000649,2.5092,1.0,0.001629
Pima,1047279,344,0.000329,2.3935,1.2113,0.000955
Pinal,462789,324,0.000702,2.5333,1.507,0.002681
Santa Cruz,46498,22,0.000495,2.4912,1.6923,0.002085
Yavapai,235099,136,0.000583,2.55,2.0,0.002972
Yuma,213787,25,0.000122,2.3889,1.0,0.000291
