Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence,Estimated unvaccinated prevalence,Estimated vaccinated prevalence
Entire state,3017804,1045,0.000347,2.4032,1.2067,0.001005,0.001475,0.000172
Arkansas,17486,13,0.000801,2.5866,1.8571,0.003846,0.005776,0.000673
Ashley,19657,8,0.000458,2.2579,2.0,0.002068,0.00293,0.000341
Baxter,41932,7,0.000191,2.5354,1.75,0.000847,0.001221,0.000142
Benton,279141,79,0.000287,2.4004,1.3621,0.000937,0.001343,0.000156
Boone,37432,23,0.000641,2.519,2.0,0.00323,0.004145,0.000483
Bradley,10763,23,0.00223,2.9433,1.7692,0.011612,0.017628,0.002053
Calhoun,5189,0,0.000193,2.4032,1.0,0.000463,0.00059,6.9e-05
Carroll,28380,4,0.000176,2.3726,1.0,0.000418,0.000576,6.7e-05
Chicot,10118,3,0.000395,2.5636,1.0,0.001013,0.001529,0.000178
Clark,22320,9,0.000448,2.4032,2.0,0.002153,0.003094,0.00036
Clay,14551,1,0.000137,2.2033,1.0,0.000303,0.000431,5e-05
Cleburne,24919,14,0.000602,2.6561,1.0,0.001599,0.002229,0.00026
Cleveland,7956,9,0.001257,2.5003,2.0,0.006285,0.009118,0.001062
Columbia,23457,7,0.000341,2.3775,1.0,0.000811,0.001112,0.000129
Conway,20846,2,0.000144,2.3136,1.0,0.000333,0.000508,5.9e-05
Craighead,110332,40,0.000372,2.4095,1.3333,0.001194,0.001589,0.000185
Crawford,63257,20,0.000332,2.4499,1.6667,0.001356,0.001777,0.000207
Crittenden,47955,12,0.000271,2.275,1.0,0.000617,0.000795,9.3e-05
Cross,16419,2,0.000183,2.5146,2.0,0.000919,0.001302,0.000152
Dallas,7009,4,0.000713,2.4032,2.0,0.003429,0.005241,0.00061
Desha,11361,4,0.00044,2.3389,1.3333,0.001372,0.002119,0.000247
Drew,18219,4,0.000274,2.4151,1.0,0.000663,0.000935,0.000109
Faulkner,126007,38,0.00031,2.5752,1.0,0.000797,0.001143,0.000133
Franklin,17715,2,0.000169,2.3485,1.0,0.000398,0.000565,6.6e-05
Fulton,12477,4,0.000401,2.697,1.0,0.001081,0.001359,0.000158
Garland,99386,32,0.000332,2.4635,1.0667,0.000873,0.001214,0.000141
Grant,18265,15,0.000876,2.6128,1.0714,0.002452,0.003352,0.00039
Greene,45325,17,0.000397,2.2945,1.2143,0.001106,0.001488,0.000173
Hempstead,21532,5,0.000279,2.2994,1.6667,0.001068,0.001289,0.00015
Hot Spring,33771,23,0.000711,2.2595,1.0,0.001606,0.00216,0.000252
Howard,13202,2,0.000227,2.3175,1.0,0.000527,0.000736,8.6e-05
Independence,37825,16,0.000449,2.5028,2.0,0.00225,0.002841,0.000331
Izard,13629,3,0.000293,2.5081,2.0,0.001472,0.001897,0.000221
Jackson,16719,3,0.000239,2.2447,1.0,0.000537,0.000708,8.2e-05
Jefferson,66824,34,0.000524,2.4055,1.3077,0.001648,0.002135,0.000249
Johnson,26578,7,0.000301,2.4268,1.0,0.00073,0.001008,0.000117
Lafayette,6624,1,0.000302,2.4032,1.0,0.000726,0.000935,0.000109
Lawrence,16406,4,0.000305,2.3437,2.0,0.001429,0.001914,0.000223
Lee,8857,0,0.000113,2.5431,1.0,0.000287,0.000365,4.3e-05
Lincoln,13024,5,0.000461,2.7683,2.0,0.002551,0.003231,0.000376
Little River,12259,1,0.000163,2.5081,1.0,0.000409,0.000502,5.8e-05
Logan,21466,5,0.00028,2.568,2.0,0.001436,0.001964,0.000229
Lonoke,73309,42,0.000587,2.5589,1.1053,0.001659,0.002305,0.000269
Madison,16576,0,6e-05,2.4032,1.0,0.000145,0.000191,2.2e-05
Marion,16694,2,0.00018,2.2431,1.0,0.000403,0.000516,6e-05
Miller,43257,9,0.000231,2.3731,1.0,0.000549,0.000595,6.9e-05
Mississippi,40651,7,0.000197,2.1363,1.0,0.00042,0.000545,6.3e-05
Monroe,6701,0,0.000149,2.4662,1.0,0.000368,0.000544,6.3e-05
Montgomery,8986,1,0.000223,2.4032,1.0,0.000535,0.000715,8.3e-05
Nevada,8252,3,0.000485,2.275,2.0,0.002205,0.002782,0.000324
Newton,7753,1,0.000258,2.4434,1.0,0.00063,0.000794,9.2e-05
Ouachita,23382,16,0.000727,2.813,1.0,0.002045,0.002964,0.000345
Perry,10455,1,0.000191,2.4032,1.0,0.00046,0.000674,7.8e-05
Phillips,17782,5,0.000337,2.5028,1.6667,0.001408,0.001947,0.000227
Pike,10718,1,0.000187,2.0,1.0,0.000373,0.000488,5.7e-05
Poinsett,23528,2,0.000128,2.1285,1.0,0.000271,0.000359,4.2e-05
Polk,19964,2,0.00015,2.5431,1.0,0.000382,0.000481,5.6e-05
Pope,64072,10,0.000172,2.2889,1.4286,0.000561,0.000798,9.3e-05
Prairie,8062,0,0.000124,2.4336,1.0,0.000302,0.000397,4.6e-05
Pulaski,391911,172,0.000441,2.4626,1.303,0.001416,0.002227,0.000259
