Name,Population,Cases in past week,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,1787065,2845,0.001593,2.9737,1.0,0.004736
Ada,481587,792,0.001647,2.9434,1.0,0.004847
Adams,4294,7,0.001863,3.3876,1.1667,0.007363
Bannock,87808,124,0.001424,2.9689,1.0,0.004226
Bear Lake,6125,7,0.001306,3.0044,1.0,0.003924
Benewah,9298,4,0.000538,2.1783,1.0,0.001171
Bingham,46811,45,0.000983,3.1764,1.0,0.003121
Blaine,23021,94,0.004127,3.2683,1.0,0.013487
Boise,7831,8,0.001149,2.6687,1.1429,0.003505
Bonner,45739,146,0.003214,3.1573,1.0,0.010147
Bonneville,119062,155,0.00131,2.9299,1.0,0.003839
Boundary,12245,19,0.001633,3.0904,1.0,0.005048
Butte,2597,1,0.00077,3.4558,1.0,0.002661
Camas,1106,2,0.002712,2.8698,1.0,0.007784
Canyon,229849,347,0.001514,2.9841,1.0,0.004518
Caribou,7155,4,0.000699,2.4649,1.0,0.001723
Cassia,24030,39,0.001665,3.0432,1.3929,0.007056
Clark,845,0,0.001183,2.9737,1.0,0.003519
Clearwater,8756,6,0.000799,2.396,1.0,0.001915
Custer,4315,0,0.000232,2.9207,1.0,0.000677
Elmore,27511,40,0.00149,2.9406,1.6,0.007012
Franklin,13876,16,0.001225,3.2832,1.0667,0.004291
Fremont,13099,14,0.001145,3.7758,1.0,0.004324
Gem,18112,22,0.00127,3.0412,1.0,0.003862
Gooding,15179,7,0.000527,2.5993,1.0,0.00137
Idaho,16667,5,0.00036,3.171,1.0,0.001142
Jefferson,29871,44,0.001506,3.4178,1.375,0.00708
Jerome,24412,34,0.001434,3.0149,1.619,0.006998
Kootenai,165697,325,0.001967,3.1728,1.0,0.006242
Latah,40108,75,0.001895,3.596,1.3889,0.009464
Lemhi,8027,5,0.000747,2.9737,2.0,0.004446
Lewis,3838,6,0.001824,2.8407,1.5,0.007772
Lincoln,5366,3,0.000745,2.4649,1.0,0.001837
Madison,39907,122,0.003082,3.4792,1.1402,0.012227
Minidoka,21039,23,0.001141,2.9986,1.0,0.003421
Nez Perce,40408,27,0.000693,2.9144,1.0,0.002019
Oneida,4531,5,0.001324,3.282,1.0,0.004346
Owyhee,11823,7,0.000677,2.8825,1.0,0.00195
Payette,23951,23,0.001002,2.7669,1.0,0.002773
Power,7681,13,0.001823,2.9996,1.0,0.005467
Shoshone,12882,10,0.000854,2.5931,1.0,0.002214
Teton,12142,57,0.004777,2.6346,1.0,0.012585
Twin Falls,86878,86,0.001001,2.7529,1.0,0.002757
Valley,11392,60,0.005355,3.5313,1.4286,0.027013
Washington,10194,16,0.001668,2.5022,1.0,0.004173
