Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.021918,0.004037,0.00392,2.3572,1.0,0.00924
Adams,0.032524,0.00599,0.00677,2.5073,1.1078,0.018804
Alexander,0.017251,0.003177,0.003298,2.4211,1.6364,0.013066
Bond,0.018324,0.003375,0.004383,2.4054,1.0,0.010544
Boone,0.025952,0.00478,0.005472,2.4987,1.0,0.013673
Brown,0.019904,0.003666,0.004865,2.2181,1.1071,0.011947
Bureau,0.030291,0.005579,0.005241,2.4461,1.2879,0.01651
Calhoun,0.036016,0.006634,0.010551,2.186,1.0,0.023064
Carroll,0.036716,0.006763,0.006641,2.5178,1.093,0.018277
Cass,0.043403,0.007994,0.005845,2.3662,1.6667,0.023051
Champaign,0.025154,0.004633,0.005408,2.3049,1.0,0.012465
Christian,0.024656,0.004541,0.006501,2.372,1.0,0.01542
Clark,0.019236,0.003543,0.004922,2.3973,1.0,0.0118
Clay,0.034771,0.006404,0.009254,2.6117,1.0,0.024167
Clinton,0.023498,0.004328,0.004526,2.3572,1.2158,0.012971
Coles,0.018096,0.003333,0.00482,2.4054,1.0,0.011594
Cook,0.014759,0.002718,0.002825,2.3049,1.0,0.00651
Crawford,0.023881,0.004399,0.004446,2.3255,1.4138,0.014619
Cumberland,0.034698,0.006391,0.007059,2.5302,1.3393,0.023922
DeKalb,0.017577,0.003238,0.004109,2.3919,1.0,0.009828
De Witt,0.047889,0.008821,0.008953,2.3863,1.3113,0.028014
Douglas,0.039411,0.007259,0.007603,2.4509,1.3125,0.024458
DuPage,0.021375,0.003937,0.003624,2.3542,1.0,0.008532
Edgar,0.052289,0.009631,0.010256,2.4081,1.3158,0.032496
Edwards,0.019719,0.003632,0.00516,2.6494,1.0,0.013672
Effingham,0.018075,0.003329,0.004558,2.4461,1.0,0.011148
Fayette,0.013219,0.002435,0.004124,2.3049,1.0,0.009507
Ford,0.054559,0.010049,0.008333,2.3891,1.5286,0.03043
Franklin,0.026084,0.004804,0.005251,2.5561,1.2484,0.016757
Fulton,0.025517,0.0047,0.0053,2.4412,1.0838,0.014023
Gallatin,0.022966,0.00423,0.0029,2.4509,1.8571,0.013199
Greene,0.025731,0.004739,0.005706,2.4556,1.2586,0.017635
Grundy,0.028201,0.005194,0.006229,2.5009,1.0,0.015577
Hamilton,0.013633,0.002511,0.00382,2.5363,1.0,0.009688
Hancock,0.020408,0.003759,0.0048,2.6028,1.0,0.012493
Hardin,0.020118,0.003706,0.005758,2.3919,1.0,0.013771
Henderson,0.008837,0.001628,0.002407,2.4237,1.0,0.005835
Henry,0.024255,0.004467,0.005193,2.4697,1.0,0.012825
Iroquois,0.02925,0.005388,0.007155,2.4833,1.0,0.017768
Jackson,0.012597,0.00232,0.002555,2.3662,1.2203,0.007378
Jasper,0.026694,0.004917,0.005515,2.4054,1.3333,0.017688
Jefferson,0.012749,0.002348,0.003264,2.3835,1.0517,0.008182
Jersey,0.029242,0.005386,0.006935,2.3778,1.0,0.016491
Jo Daviess,0.018932,0.003487,0.00292,2.4287,1.0,0.007091
Johnson,0.020964,0.003861,0.004752,2.348,1.1373,0.012688
Kane,0.018236,0.003359,0.003672,2.3973,1.0,0.008803
Kankakee,0.020739,0.00382,0.005043,2.465,1.0,0.01243
Kendall,0.023939,0.004409,0.004582,2.4788,1.0,0.011357
Knox,0.020649,0.003803,0.003582,2.4185,1.2826,0.01111
Lake,0.020212,0.003723,0.00337,2.3255,1.0,0.007836
LaSalle,0.035894,0.006611,0.006175,2.3542,1.3373,0.01944
Lawrence,0.028423,0.005235,0.005677,2.2712,1.4667,0.018909
Lee,0.039684,0.007309,0.006394,2.3807,1.391,0.021173
Livingston,0.039828,0.007336,0.007265,2.3919,1.3723,0.023848
Logan,0.021847,0.004024,0.005241,2.3891,1.0,0.012522
McDonough,0.020704,0.003813,0.005087,2.312,1.0714,0.012602
McHenry,0.024251,0.004467,0.004818,2.4,1.0,0.011565
McLean,0.026619,0.004903,0.00562,2.3386,1.0052,0.013212
Macon,0.03294,0.006067,0.006519,2.4509,1.2025,0.019211
Macoupin,0.026556,0.004891,0.004986,2.4,1.2528,0.014992
Madison,0.023782,0.00438,0.004487,2.3919,1.1458,0.012297
Marion,0.015323,0.002822,0.004085,2.312,1.0486,0.009905
Marshall,0.025744,0.004742,0.005858,2.4237,1.0,0.014197
Mason,0.051871,0.009554,0.008234,2.4743,1.473,0.030009
Massac,0.027151,0.005001,0.005664,2.641,1.2419,0.018577
Menard,0.025931,0.004776,0.005084,2.3891,1.1731,0.014247
Mercer,0.034577,0.006369,0.006219,2.4185,1.2179,0.018319
Monroe,0.022984,0.004233,0.004562,2.4533,1.0608,0.011871
Montgomery,0.021059,0.003879,0.005385,2.3222,1.0,0.012504
Morgan,0.021572,0.003973,0.004902,2.348,1.0649,0.012258
Moultrie,0.01966,0.003621,0.005586,2.3188,1.0,0.012952
Ogle,0.03248,0.005982,0.007049,2.481,1.0201,0.017841
Peoria,0.020938,0.003857,0.004426,2.4133,1.0193,0.010887
Perry,0.015087,0.002779,0.00349,2.2712,1.1613,0.009205
