Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.006949,0.003266,0.001569,2.8457,1.4344,0.006404
Cherkasy Oblast,Unknown,Unknown,0.001568,2.8457,1.5189,0.006779
Chernihiv Oblast,Unknown,Unknown,0.001326,2.8457,1.6916,0.006385
Chernivtsi Oblast,Unknown,Unknown,0.003666,2.8457,1.5314,0.015974
Crimea Republic*,Unknown,Unknown,0.001459,2.8457,1.2868,0.005342
Dnipropetrovsk Oblast,Unknown,Unknown,0.001636,2.8457,1.3278,0.006183
Donetsk Oblast,Unknown,Unknown,0.00097,2.8457,1.4695,0.004057
Ivano-Frankivsk Oblast,Unknown,Unknown,0.001148,2.8457,1.3519,0.004415
Kharkiv Oblast,Unknown,Unknown,0.002489,2.8457,1.3815,0.009786
Kherson Oblast,Unknown,Unknown,0.00223,2.8457,1.6074,0.0102
Khmelnytskyi Oblast,Unknown,Unknown,0.001988,2.8457,1.4577,0.008246
Kiev,Unknown,Unknown,0.001061,2.8457,1.2062,0.003641
Kiev Oblast,Unknown,Unknown,0.001114,2.8457,1.2788,0.004053
Kirovohrad Oblast,Unknown,Unknown,0.0004,2.8457,1.6681,0.001898
Luhansk Oblast,Unknown,Unknown,0.001095,2.8457,1.3658,0.004257
Lviv Oblast,Unknown,Unknown,0.0018,2.8457,1.2928,0.006623
Mykolaiv Oblast,Unknown,Unknown,0.000713,2.8457,1.8729,0.003802
Odessa Oblast,Unknown,Unknown,0.001718,2.8457,1.4252,0.006969
Poltava Oblast,Unknown,Unknown,0.001037,2.8457,1.5772,0.004653
Rivne Oblast,Unknown,Unknown,0.001843,2.8457,1.4878,0.007803
Sevastopol*,Unknown,Unknown,0.002755,2.8457,1.3407,0.01051
Sumy Oblast,Unknown,Unknown,0.002194,2.8457,1.6775,0.010475
Ternopil Oblast,Unknown,Unknown,0.001994,2.8457,1.5036,0.00853
Vinnytsia Oblast,Unknown,Unknown,0.000728,2.8457,1.3496,0.002796
Volyn Oblast,Unknown,Unknown,0.001626,2.8457,1.4898,0.006892
Zakarpattia Oblast,Unknown,Unknown,0.00045,2.8457,1.3429,0.001718
Zaporizhia Oblast,Unknown,Unknown,0.002172,2.8457,1.6692,0.010317
Zhytomyr Oblast,Unknown,Unknown,0.001919,2.8457,1.5341,0.008379
